Year,Player,team,teamId,Season,games,Champion,key,Win,lose,kills,assists,deaths,killsC,assistsC,deathsC,killsJ,assistsJ,deathsJ,kda,kdaC,ban,Avg BT,wR,Presence
2021,TynX,SK,Red,Spring,8,Skarner,72,5.0,3.0,5.0,10.0,1.0,19.0,61.0,17.0,38.0,115.0,42.0,3.642857142857143,4.705882352941177,0.0,3.0,0.625,8.16326530612245
2021,Adam,FNC,Red,Summer,8,MonkeyKing,62,6.0,2.0,2.0,5.0,2.0,35.0,43.0,24.0,62.0,100.0,62.0,2.6129032258064515,3.25,0.0,2.0,0.75,8.16326530612245
2021,Crownshot,VIT,Blue,Spring,8,Jinx,222,1.0,7.0,2.0,5.0,2.0,24.0,21.0,14.0,48.0,49.0,26.0,3.730769230769231,3.2142857142857144,0.0,,0.125,8.16326530612245
2021,Skeanz,VIT,Blue,Spring,8,Skarner,72,5.0,3.0,4.0,10.0,2.0,19.0,61.0,17.0,52.0,81.0,35.0,3.8,4.705882352941177,0.0,3.0,0.625,8.16326530612245
2021,Neon,S04,Blue,Summer,8,Jinx,222,1.0,7.0,2.0,0.0,2.0,24.0,21.0,14.0,36.0,47.0,47.0,1.7659574468085106,3.2142857142857144,0.0,,0.125,8.16326530612245
2021,Rekkles,G2,Blue,Summer,8,Jinx,222,1.0,7.0,1.0,0.0,1.0,24.0,21.0,14.0,95.0,78.0,20.0,8.65,3.2142857142857144,0.0,,0.125,8.16326530612245
2021,Bwipo,FNC,Red,Spring,8,MonkeyKing,62,6.0,2.0,2.0,2.0,6.0,35.0,43.0,24.0,64.0,94.0,65.0,2.4307692307692306,3.25,0.0,,0.75,8.16326530612245
2021,Skeanz,VIT,Red,Spring,8,Skarner,72,5.0,3.0,0.0,5.0,0.0,19.0,61.0,17.0,52.0,81.0,35.0,3.8,4.705882352941177,0.0,6.0,0.625,8.16326530612245
2021,Upset,FNC,Blue,Summer,8,Jinx,222,1.0,7.0,4.0,3.0,2.0,24.0,21.0,14.0,90.0,106.0,21.0,9.333333333333334,3.2142857142857144,0.0,,0.125,8.16326530612245
2021,Kryze,XL,Red,Summer,8,MonkeyKing,62,6.0,2.0,0.0,2.0,1.0,35.0,43.0,24.0,31.0,97.0,44.0,2.909090909090909,3.25,0.0,2.0,0.75,8.16326530612245
2021,Kryze,XL,Blue,Summer,8,MonkeyKing,62,6.0,2.0,3.0,8.0,3.0,35.0,43.0,24.0,31.0,97.0,44.0,2.909090909090909,3.25,0.0,2.0,0.75,8.16326530612245
2021,Armut,MAD,Blue,Spring,8,MonkeyKing,62,6.0,2.0,11.0,5.0,6.0,35.0,43.0,24.0,56.0,87.0,45.0,3.1777777777777776,3.25,0.0,,0.75,8.16326530612245
2021,Armut,MAD,Red,Spring,8,MonkeyKing,62,6.0,2.0,4.0,4.0,2.0,35.0,43.0,24.0,56.0,87.0,45.0,3.1777777777777776,3.25,0.0,,0.75,8.16326530612245
2021,Vetheo,MSF,Red,Spring,7,Yone,777,2.0,5.0,1.0,3.0,2.0,25.0,37.0,28.0,62.0,92.0,51.0,3.019607843137255,2.2142857142857144,0.0,,0.2857142857142857,7.142857142857142
