Season,Split,Week,Blue,Red,WinnerT,Patch,BB1,BB2,BB3,BB4,BB5,RB1,RB2,RB3,RB4,RB5,BPPlayer1,BP1,BPPlayer2,BP2,BPPlayer3,BP3,BPPlayer4,BP4,BPPlayer5,BP5,RPPlayer1,RP1,RPPlayer2,RP2,RPPlayer3,RP3,RPPlayer4,RP4,RPPlayer5,RP5
2022,Spring,Week 2,⁠⁠EG,⁠⁠DIG,⁠⁠DIG,12.3,Diana,Aphelios,TahmKench,Ryze,Nautilus,Zeri,JarvanIV,Gwen,Syndra,Leblanc,FakeGod,Renekton,River,XinZhao,Blue,Ahri,Neo,Caitlyn,Biofrost,Lux,Impact,Karma,Inspired,Olaf,jojopyun,Corki,Danny,Jinx,Vulcan,Leona
2022,Spring,Week 2,⁠⁠IMT,⁠⁠100,⁠⁠100,12.3,Karma,Ahri,JarvanIV,Lulu,Thresh,Zeri,Caitlyn,Gwen,Nautilus,Leona,Ssumday,Renekton,Closer,Viego,Abbedagge,Ryze,FBI,Aphelios,huhi,Sett,Revenge,Graves,Xerxe,XinZhao,PowerOfEvil,Syndra,WildTurtle,Jinx,Destiny,TahmKench
2022,Spring,Week 2,⁠⁠TL,⁠⁠C9,⁠⁠TL,12.3,Karma,Aphelios,Gwen,Leona,Gnar,Caitlyn,Zeri,XinZhao,Zilean,Ahri,Bwipo,Gragas,Santorin,Viego,Bjergsen,Corki,Hans,Jinx,Eyla,Thresh,Summit,Aatrox,Blaber,Karthus,Fudge,Irelia,Berserker,Jhin,Winsome,Rakan
2022,Spring,Week 2,⁠⁠GG,⁠⁠CLG,⁠⁠GG,12.3,Karma,Diana,Caitlyn,Ryze,Ahri,Zeri,Gwen,JarvanIV,Corki,Vex,Licorice,Renekton,Pridestalkr,XinZhao,Ablazeolive,Viktor,Lost,Aphelios,Olleh,Leona,Jenkins,Ornn,Contractz,LeeSin,Palafox,Sylas,Luger,Jinx,Poome,Thresh
2022,Spring,Week 2,⁠⁠TSM,⁠⁠FLY,⁠⁠FLY,12.3,XinZhao,Syndra,Karma,Orianna,Corki,Zeri,Ryze,Gwen,Thresh,Rell,Huni,Renekton,Spica,LeeSin,Keaiduo,Viktor,Tactical,Aphelios,Shenyi,Rakan,Kumo,Ornn,Josedeodo,JarvanIV,toucouille,Zoe,Johnsun,Jinx,aphromoo,TahmKench
2022,Spring,Week 2,⁠⁠IMT,⁠⁠C9,⁠⁠C9,12.3,Irelia,Aphelios,Caitlyn,Tryndamere,Leblanc,Ahri,Zeri,Gwen,Syndra,Corki,Revenge,Jayce,Xerxe,Viego,PowerOfEvil,Viktor,WildTurtle,Jinx,Destiny,Leona,Summit,Malphite,Blaber,XinZhao,Fudge,Zilean,Berserker,Ezreal,Winsome,Karma
2022,Spring,Week 2,⁠⁠TSM,⁠⁠GG,⁠⁠GG,12.3,JarvanIV,Karma,Yuumi,Corki,Ryze,Zeri,Gwen,Caitlyn,Syndra,Ahri,Huni,Lulu,Spica,XinZhao,Keaiduo,Vex,Tactical,Jinx,Shenyi,Rell,Licorice,Graves,Pridestalkr,Zed,Ablazeolive,Viktor,Lost,Aphelios,Olleh,Leona
2022,Spring,Week 2,⁠⁠EG,⁠⁠100,⁠⁠100,12.3,Aphelios,Caitlyn,Karma,Azir,Ahri,Zeri,Gwen,Jinx,Ryze,Corki,Impact,Graves,Inspired,XinZhao,jojopyun,Akali,Danny,Ezreal,Vulcan,TahmKench,Ssumday,Tryndamere,Closer,JarvanIV,Abbedagge,Viktor,FBI,Senna,huhi,Sett
2022,Spring,Week 2,⁠⁠TL,⁠⁠FLY,⁠⁠FLY,12.3,Caitlyn,Thresh,TahmKench,XinZhao,LeeSin,Zeri,Gwen,Karma,Rakan,Nautilus,Kumo,Graves,Josedeodo,JarvanIV,toucouille,Orianna,Johnsun,Jinx,aphromoo,Braum,Bwipo,Jayce,Santorin,Trundle,Bjergsen,Corki,Hans,Aphelios,Eyla,Leona
2022,Spring,Week 2,⁠⁠DIG,⁠⁠CLG,⁠⁠CLG,12.3,JarvanIV,Thresh,Olaf,Nautilus,Leona,Gwen,Zeri,Ryze,TwistedFate,Ahri,Jenkins,Graves,Contractz,XinZhao,Palafox,Orianna,Luger,Jhin,Poome,Yuumi,FakeGod,Tryndamere,River,Poppy,Blue,Corki,Neo,Jinx,Biofrost,Karma
